scientific_name,pronunciation,common_name,family_name,plant_type,key_id_features,habit,form,texture,height,spread,growth_rate,origin,climate,exposure,soil_or_growing_medium,water,landscape_uses,additional_info,leaf_form,leaf_arrangement,leaf_texture,leaf_surfaces,leaf_colour_in_summer,leaf_colour_in_fall,leaf_shapes,leaf_apices,leaf_bases,leaf_margins,inflorescence_type,petal_colour,flower_scent,flower_time,fruit_type,fruit_colour,fruiting_time,bark_morphology,bark_or_stem_colour,propagation,pest_susceptibility
Fagus sylvatica Atropurpurea Group,FAY-gus sil-VAT-ih-kuh,copper beech,Fagaceae,Tree - deciduous,,Upright,Pyramidal - widely,Medium - coarse,15 - 22m,10 - 15m,Fast,Europe,Zone 5: (-29 to -23 C),Full sun,,,"Fall interest, Shade tree, Specimen plant, Summer interest","Accessory tissue, 3-angled nuts from compound ovary enclosed in prickly bracts that split open like a capsule",Simple,Alternate,"Heavily veined, Pinnate venation, Soft flexible",Glabrous,"Purple, turn copper colour in fall",Red,"Elliptic, Ovate",,,Undulate (wavy),,"Not showy, Red",,"Apr, May",Nut,,,,,,
Fagus sylvatica 'Purpurea Pendula',FAY-gus sil-VAT-ih-kuh,weeping copper beech,Fagaceae,Tree - deciduous,"Grafted with pendulous branches (form is umbrella or mushroom-like). Leaves emerge purple in spring, fading to green-purple in summer. Leaves alternate, ovate-elliptic with undulatng margin and prominent veins. Very sharp pointed divergent brown buds and smooth grayish bark.","Dense, Pendulous",Weeping,Medium,2 - 3m,2 - 3m,Slow,"Europe, Garden origin",Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Moderate,"Accent plant, Small garden/space, Specimen plant","Not showy, Accessory tissue, 3-angled nuts from compound ovary enclosed in prickly bracts that split open like a capsule",Simple,Alternate,"Heavily veined, Pinnate venation, Soft flexible",Lustrous,Dark-red,Brown,"Elliptic, Ovate",Acute,Acute,"Serrate, Undulate (wavy)",Flowers solitary,"Not showy, Dark-red",None,"Apr, May",Nut,"Green, Brown","Oct, Nov",Smooth,"Grey, Brown","Greenwood cuttings, Grafting",Pest resistant
Fagus sylvatica 'Purple Fountain',FAY-gus sil-VAT-ih-kuh,weeping purple beech,Fagaceae,Tree - deciduous,"Tall, narrow, deciduous tree with pendulous branches; leaves emerge dark purple and fade to purple-green in summer. Other ID feature typical of F. sylvatica: smooth grey (elephant skin) bark, and long, narrow, pointed spear-like buds.","Pendulous, Stiffly upright","Columnar, Weeping",Medium,7 - 10m,2 - 3m,Slow,"Europe, Garden origin",Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Moderate,"Accent plant, Small garden/space, Specimen plant, Tall background","Not showy, Accessory tissue, 3-angled nuts from compound ovary enclosed in prickly bracts that split open like a capsule",Simple,Alternate,"Pinnate venation, Soft flexible","Lustrous, Pubescent","Dark-green, Purple","Yellow, Brown","Elliptic, Ovate",Acute,Obtuse,"Ciliate, Entire, Undulate (wavy)",Flowers solitary,"Not showy, Purple",None,"Apr, May",Nut,"Green, Brown","Sep, Oct, Nov","Smooth, Single stem trunk",Grey,"Greenwood cuttings, Grafting",Pest resistant
Falkia repens,FALK-ee-uh REE-penz,"African morning glory, creeping falkia",Convolvulaceae,Ground cover,"Evergreen, mat-forming, perennial groundcover; leaves rounded; flowers larger, white to pinkish-violet.",Spreading,Creeping / Mat-like,Medium - fine,,,,Africa (South Africa),Zone 7: (-18 to -12 C),"Filtered shade, Full sun, Part sun/part shade",,,Ground cover,Fruit insignificant,Simple,Basal,Leathery,Glabrous,Dark-green,Green-yellow,Ovate,Emarginate,Truncate,Entire,Flowers solitary,"White, Violet, Pink",,"Sep, Oct, Nov",Schizocarp,Green,Nov,,n/a,,"Pest resistant, Disease resistant"
Fallopia baldschuanica,fal-OH-pee-uh bald-SHWAN-ih-kuh,silver lace vine,Polygonaceae,"Shrub - deciduous, Vine or climber","Leaves oval to nearly triangular leaves, up to 10 cm long; florets white to pale pink, 1 cm wide, in drooping panicles; fruit a shiny black achene about 2 mm wide. Winter ID: Light brown, silvery stems; fruit may persist.","Dense, Spreading, Upright",Climbing,Medium,7 - 10m,2 - 3m,Fast,S.E. Asia / Japan / China (China),Zone 4: (-34 to -29 C),"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Moderate,"Arbors or trellis, Screening","Not showy, Persistent",Simple,Alternate,Soft flexible,Lustrous,Green,Yellow,"Oblong, Ovate",Acute,"Cordate, Hastate","Crenate, Undulate (wavy)","Floriferous, Panicle","Showy, White, Green, Pink",None,"Jun, Jul, Aug, Sep",Achene,"White, Pink, Brown","Aug, Sep, Oct",Multi-stem trunk,"Grey, Brown","Seed, Division - below ground parts, Stem/cane cuttings",Beetles or weevils
Fallopia japonica ( syn. Reynoutria ),fal-OH-pee-uh juh-PON-ih-kuh,Japanese knotweed,Polygonaceae,"Invasive plant, Shrub - deciduous, Weed (horticultural)",,Upright,"Oval - vertical, Round",Medium - coarse,2 - 3m,7 - 10m,Fast,,Zone 5: (-29 to -23 C),"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Moderate,,Not showy,Simple,Alternate,,Glabrous,Green,Orange,Ovate,Acuminate,Truncate,Entire,"Floriferous, Panicle",White,None,"Aug, Sep",Capsule,"White, Brown","Sep, Oct",Other,Green,"Seed, Division - below ground parts","Pest resistant, Disease resistant"
Fargesia nitida,far-JEE-zee-uh NIT-ih-duh,fountain bamboo,Poaceae,"Bamboo, Poales (grass-like)",Clump forming bamboo; stems olive coloured; leaves point down on twiggy whorls at nodes.,"Arching, Spreading, Stiffly upright","Columnar, Oval - vertical",Medium - fine,3 - 5m,1.5 - 2.0m,Slow,,Zone 7: (-18 to -12 C),"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Moderate,"Accent plant, Container planting, Hedge row, Mixed shrub border, Screening, Specimen plant, Tall background, Woodland margin",Fruit insignificant,Simple,Alternate,Soft flexible,,Green-yellow,Green-yellow,Lanceolate,Acuminate,Sheathing,,"Panicle-like, Spikelet","Not showy, Yellow, Purple",,,Grain (caryopsis),Brown,,Smooth,Green,Division - below ground parts,"Leaf scorch, Deer resistant"
Fatsia japonica,FAT-see-uh juh-PON-ih-kuh,fatsia,Araliaceae,"Broadleaf evergreen, Indoor foliage plant","Large evergreen shrub; leaves alternate, very large, leathery, lustrous dark green, serrate, and palmate with 7-9 very deep lobes.","Spreading, Stiffly upright","Round, Vase",Very coarse,3 - 5m,3 - 4m,Moderate,,Zone 8a: (-12 to -9.5 C),"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Moderate,"Accent plant, Container planting, Indoor plant, Mixed shrub border, Specimen plant",Showy,"Lobed, Simple","Alternate, Spiraled","Heavily veined, Leathery","Glabrous, Lustrous",Dark-green,Dark-green,"Elliptic, Oblong, Other",Acute,"Auriculate, Cordate","Cleft (parted), Serrulate, Sinuate","Panicle-like, Umbel","Showy, White",None,"Oct, Nov",Drupe,Black,"Mar, Apr, May",Prominent lenticels,"Green, Brown","Seed, Greenwood cuttings, Softwood cuttings, Layering","Disease resistant, Fungal leaf spot, Mites, Scale insects, Mold, Abiotic disorder, Heteroptera - true bugs, Rabbit resistant"
Faucaria tigrina,fow-KAR-ee-uh tig-REE-nuh,tiger's jaws,Aizoaceae,"Indoor foliage plant, Succulent or Cacti","Leaves thick, triangular, inside margins with upright teeth in opposite pairs that looks like an animal mouth.","Dense, Spreading",Mounded,Coarse,0.1 - 0.2m,0.1 - 0.3m,Slow,Africa,Zone 9: (-7 to -1 C),Full sun,"Rocky or gravelly or dry, Well-drained",Low,Indoor plant,numerous petal like sepals,Simple,"Basal, Opposite",Succulent,Glabrous,Gray-green.,,"Deltoid, Ovate",Acute,,Serrulate,"Head-like, Flowers solitary",Yellow,,"Aug, Sep",Capsule,,,,,Softwood cuttings,"Root rot, Scale insects"
Felicia amelloides,fel-ISS-ee-uh am-el-OH-id-eez,"blue daisy, blue marguerite",Asteraceae,Flowering pot plant,"Leaves ovate to obovate, hairy. < 3 cm long; flower heads < 2 cm wide with light blue ray florets and yellow centers, from June to frost.","Arching, Spreading, Twiggy",Mounded,Medium - fine,0.4 - 0.7m,0.1 - 0.3m,Fast,Africa (South Africa),Zone 9: (-7 to -1 C),Full sun,,Moderate,"Bedding plant, Container planting, Hanging basket, Perennial border, Rock garden, Summer interest",Fruit insignificant,Simple,Opposite,Soft flexible,Pubescent,Dark-green,,"Obovate, Ovate",Truncate,Obtuse,Entire,"Floriferous, Head (capitulum)","Showy, Blue",None,"Jun, Jul, Aug, Sep, Oct",Cypsela (achene + calyx),Silver,"Aug, Sep, Oct",,Green,Cuttings,"Pest resistant, Disease resistant, Aphids or adelgids, Mites, Root rot, Mold"
Ferocactus sp.,FEER-oh-KAK-tus,barrel cactus,Cactaceae,"Indoor foliage plant, Succulent or Cacti","Succulent, ribbed barrel-shaped stems.",Stiffly upright,Oval - vertical,Very coarse,0.4 - 0.7m,0.3 - 0.6m,,"Central America, Mexico, U.S. - southwest",Zone 10: (-1 to 4 C),,Well-drained,Low,Indoor plant,"Leaves reduced to long, red or white spines.",Needle-like,Whorled,Prickly,Glabrous,,,Acicular,Aristate,Truncate,Entire,Flowers clustered,"Orange, Pink, Red, Yellow",,"May, Jun, Jul, Aug",Berry (true),"Green, Red, Yellow, Pink","Aug, Sep",,,Seed,Root rot
Festuca arundinacea,fess-TEW-kuh uh-run-dih-NAY-see-uh,tall fescue,Poaceae,"Herbaceous perennial, Poales (grass-like)","Leaf vernation rolled, blade flat and stiff, sharply pointed blade 3-12 mm wide, strongly veined upper surface, strong midrib, lower surface keeled and slightly glossy, rough edges, sharp tip… auricles very small (or absent), rounded, pubescent …few trichomes on collar…ligule mostly 0.4-1.2 mm, smooth edged, with few trichomes…sheath round but keeled near top, glabrous, often reddish at base…+/- short rhizomes… bunching (tufted) habit.",,,Fine,,,,,Zone 4: (-34 to -29 C),Full sun,,,"Golf green, Lawn - sports field","6-9 mm long; lemma square at apex; awns absent; rachilla cylindrical and slender with a bulged, rounded tip; 500 grains per gram",Grass-like,,,,Dark-green,,Linear,Aristate,Sheathing,Ciliate,"Panicle-like, Spikelet",Green-yellow,,,Grain (caryopsis),Brown,,,,,
Festuca glauca,fess-TEW-kuh GLAW-kuh,"blue fescue, blue sheep fescue",Poaceae,Poales (grass-like),"Small, tufted mounds; leaves blue-green, smooth, tightly in-rolled (almost needle-like) and erect or slightly arching, evergreen, about 1 mm wide; flowers dense, shortly branched panicles of spikelets early to midsummer.","Dense, Spreading, Stiffly upright",Mounded,Fine,0.2 - 0.4m,0.6 - 1.0m,Moderate,Europe,Zone 3: (-40 to -34 C),Full sun,Well-drained,"Low, Moderate","Accent plant, Container planting, Fall interest, Group or mass planting, Mixed shrub border, Perennial border, Summer interest",9 major veins,Grass-like,Basal,Parallel venation,Glabrous,"Bluish, cv. 'Golden Toupee' has golden-green leaves and tan flowers, a much smaller plant than the species ( to15-20 cm high) cv. 'Pepindale Blue' is similiar to the species but with intense blue foliage",Bluish,"Filiform, Linear",Attenuate,Sheathing,Entire,"Floriferous, Spikelet","Showy, Violet, Blue, Green, Yellow, (blue-green with yellow anthers)",None,"Jun, Jul, Aug",Grain (caryopsis),Brown,"Sep, Oct",,,"Seed, Division - below ground parts","Anthracnose, Rust, Deer resistant"
Festuca idahoensis,fess-TEW-kuh eye-duh-ho-EN-sis,"Idaho fescue, blue bunchgrass",Poaceae,Poales (grass-like),"Small, tufted upright formal mounds; leaves blue-green, smooth, tightly in-rolled (almost needle-like) and erect or slightly arching, evergreen; flowers dense, shortly branched panicles of spikelets early to midsummer.","Dense, Spreading, Stiffly upright",Mounded,Fine,0.2 - 0.4m,0.3 - 0.6m,Moderate,"B.C. east of Cascades, B.C. west of Cascades, Canada - central, U.S. - central, U.S. - northwest, U.S. - southwest",Zone 3: (-40 to -34 C),Full sun,Well-drained,Low,"Accent plant, Container planting, Fall interest, Group or mass planting, Mixed shrub border, Perennial border, Summer interest",9 major veins,Grass-like,Basal,Parallel venation,Glabrous,"Bluish, cv. 'Golden Toupee' has golden-green leaves and tan flowers, a much smaller plant than the species ( to15-20 cm high) cv. 'Pepindale Blue' is similiar to the species but with intense blue foliage",Bluish,"Filiform, Linear",Attenuate,Sheathing,Entire,"Floriferous, Spikelet","Showy, Blue, Yellow, Green, Violet, (blue-green with yellow anthers)",None,"May, Jun",Grain (caryopsis),Brown,"Sep, Oct",,,"Division - below ground parts, Seed","Rust, Anthracnose"
Festuca longifolia,fess-TEW-kuh lawn-jih-FOE-lee-uh,hard fescue,Poaceae,Poales (grass-like),"Leaf vernation folded, blades about 1 m wide sharply pointed, bristle-like, top prominently ridged …auricles absent…ligule < 0.6 mm or absent…+/-rhizomes…stolons short…sheath split, margins overlap, sometimes hairy reddish base…bunch-type growth habit.",,,Fine,,,,,Zone 4: (-34 to -29 C),,,,Golf green,"4-6 mm long; awns < 1.5 mm long; lemma 4-5 x 1-1.5 mm; usually short hairs along lemma margin and near apex; 1,200 grains per gram",Grass-like,Alternate,"Parallel venation, Soft flexible",Glabrous,,,Linear,Acute,Sheathing,Entire,"Spike-like, Spikelet","Dark-red, Brown",,"Apr, May",Grain (caryopsis),Brown,,,,,
Festuca ovina,fess-TEW-kuh oh-VYE-nuh,sheep fescue,Poaceae,"Herbaceous perennial, Poales (grass-like)","Leaf vernation folded, blades bluish-green, bristle-like, 0.5 – 1.5 mm wide, sharply pointed, top prominently ridged…sheath densely pubescent…auricles absent…ligules < 0.3 mm… sheath split, margins overlap, sometimes hairy reddish base…rhizomes absent…stolons absent…erect habit.",,,,,,,,Zone 2: (-46 to -40 C),,,,"Golf green, Green roof technology","4-6 mm long; awns < 1.5 mm long; lemma 4-5 x 1-1.5 mm; usually short hairs along lemma margin and near apex; 1,200 grains per gram",Grass-like,,,,,,Filiform,,,,Spikelet,Green-yellow,,,Grain (caryopsis),Brown,,,,,
Festuca rubra var. rubra,fess-TEW-kuh ROO-bruh variety ROO-bruh,creeping red fescue,Poaceae,"Herbaceous perennial, Poales (grass-like)","Leaf vernation folded but hard to see (bristle-like leaves), blade slightly folded, < 2 mm wide, deeply ridged on upper surface (heavily veined), tips rounded and not boat-shaped… auricles absent…ligule < 0.3 mm, truncate…sheath base reddish, round to very slightly compressed, wider than blade…rhizomes present…stolons absent… bunching, thatchy, aggressive, dense sod habit with bent culms.",,,Fine,< 0.1m,< 0.1m,Moderate,,Zone 4: (-34 to -29 C),"Filtered shade, Part sun/part shade",,,"Golf green, Green roof technology","4-6 mm long; awns > 1.5 mm long; lemma 4-6 x 1-1.5 mm, smooth; rachilla slender, long, round with flared tip; 1,200 grains per gram",Grass-like,,,,"Green, Blades purplish near collar.",,Acicular,,,,"Panicle-like, Spikelet",Red,,,Grain (caryopsis),Brown,,,,,
Festuca valesiaca 'Nefer',fess-TEW-kuh vay-lee-ZYE-ih-kuh,Nefer fescue,Poaceae,Poales (grass-like),,"Arching, Spreading","Mounded, Round",Fine,0.4 - 0.7m,0.3 - 0.6m,Fast,Europe,Zone 5: (-29 to -23 C),Full sun,Well-drained,,"Accent plant, Container planting, Fall interest, Ground cover, Group or mass planting, Hanging basket, Mixed shrub border, Perennial border, Summer interest",Not showy,Grass-like,Basal,Parallel venation,Glabrous,"Green, Silver / Grayish",Green,Linear,,,,"Floriferous, Panicle-like, Spikelet","Showy, Green, Yellow",None,"Jun, Jul",Grain (caryopsis),Brown,,,,"Seed, Division - above ground parts, Division - below ground parts","Pest resistant, Disease resistant"
Ficus benjamina,FYE-kus ben-juh-MYE-nuh,"weeping fig, weeping ficus",Moraceae,"Indoor foliage plant, Broadleaf evergreen","Leaves elliptic with long pointed tip, glossy, leathery with undulating margin; branchlets thin and weak; bark smooth, pale; trunks are often braided in indoor potted varieties.","Arching, Upright","Irregular, Oval - vertical, Weeping",Medium - fine,22 - 30m,10 - 15m,Fast,Australia / New Zealand,Zone 10: (-1 to 4 C),Part sun/part shade,Well-drained,Moderate,"Indoor plant, Specimen plant","Showy, Accessory tissue, Fruit rarely forms on potted plants. Called a syconium, a fruit type only found in figs - formed by an enlarged, fleshy, hollow receptacle with multiple ovaries on the inside surface.",Simple,Alternate,Leathery,Lustrous,Green,Green,"Elliptic, Ovate",Cuspidate,"Cuneate, Obtuse",,Catkin (ament),"Not showy, White, Brown",,"Mar, Apr",Multiple fruit,"Red, Black, Orange","May, Jun",Smooth,"Grey, Tan","Seed, Softwood cuttings, Hardwood cuttings","Fungal leaf spot, Galls, Mites, Scale insects"
Ficus binnendijkii 'Alii',FYE-kus ben-juh-MYE-nuh,sabre fig,Moraceae,Indoor foliage plant,,Upright,Oval - vertical,Medium - coarse,2 - 3m,1.0 - 1.5m,,,Zone 10: (-1 to 4 C),,,Moderate,Indoor plant,"Showy, Accessory tissue, Fruit rarely forms on potted plants. Called a syconium, a fruit type only found in figs - formed by an enlarged, fleshy, hollow receptacle with multiple ovaries on the inside surface.",Simple,Alternate,Succulent,Lustrous,Green,,Lanceolate,Acuminate,Cuneate,Entire,,No Flowers,,,Multiple fruit,"Red, Green",,Prominent lenticels,Brown,Layering,"Mites, Scale insects"
Ficus carica,FYE-kus KAIR-ih-kuh,"common fig, garden fig",Moraceae,Shrub - deciduous,"Leaves dark green, ovate 12 - 25 cm x 10 - 18 cm wide, with 3 or 5 lobes; florets enclosed in hollow stem; fruit obovate, mostly 4 - 7 cm long, green, ripening to purplish-brown (syconium).",Upright,Round,Very coarse,2 - 3m,3 - 4m,,"S.E. Asia / Japan / China (W. Asia, E. Mediterranean)",Zone 6: (-23 to -18 C),Full sun,Well-drained,,"Specimen plant, Urban agriculture","Not showy, Accessory tissue, Called a syconium, a fruit type only found in figs - formed by an enlarged, fleshy, hollow receptacle with multiple ovaries on the inside surface.","Lobed, Simple",Alternate,"Leathery, Palmate venation","Glabrous, Lustrous",Dark-green,Yellow,Ovate,,Cordate,Palmately lobed,"Head-like, n/a","Not showy, Green, Red, Pink, (must cut open immature 'fruit' to see the flowers.)",,"May, Jun","Multiple fruit, Drupe","Green, Purple, Brown","Aug, Sep",Smooth,"Tan, Grey",,"Pest resistant, Disease resistant"
Ficus elastica,FYE-kus ee-LASS--tih-kuh,"rubber plant, India rubber plant, rubber tree",Moraceae,Indoor foliage plant,"Leaves very large, thick, elliptic; new leaf growth green, darkens to purple-green as it matures; inflorescence is a spadix surrounded by a single large bract.",Upright,Oval - vertical,Coarse,> 30m,,,,Zone 10: (-1 to 4 C),Part sun/part shade,"Humus rich, Well-drained",Moderate,Indoor plant,"Showy, Accessory tissue, Fruit rarely forms on potted plants. Called a syconium, a fruit type only found in figs - formed by an enlarged, fleshy, hollow receptacle with multiple ovaries on the inside surface.",Simple,Alternate,Leathery,"Glabrous, Lustrous",Green,,"Elliptic, Ovate",Cuspidate,,Entire,,"No Flowers, Red, Green",,,Multiple fruit,"Black, Purple",,,Bark or Stem Colour,"Layering, Stem tip cuttings","Fungal leaf spot, Scale insects"
Ficus lyrata,FYE-kus leer-RAY-tuh,fiddle-leaf fig,Moraceae,Indoor foliage plant,,Upright,Oval - vertical,Very coarse,> 30m,15 - 25m,,,Zone 10: (-1 to 4 C),,,Moderate,Indoor plant,"Not showy, Accessory tissue, Fruit rarely forms on potted plants. Called a syconium, a fruit type only found in figs - formed by an enlarged, fleshy, hollow receptacle with multiple ovaries on the inside surface.",Simple,Alternate,Leathery,Lustrous,Green,,Elliptic,Rounded,Attenuate,Undulate (wavy),,"No Flowers, Green",,,Multiple fruit,Green,,,,Layering,Scale insects
Ficus pumila,FYE-kus PEW-mih-luh,creeping fig,Moraceae,"Indoor foliage plant, Vine or climber","A fast-growing, climbing vine with adhesive aerial rootlets; leaves ovate, bases cordate or uneven, up to 2.5 cm long.",Spreading,"Climbing, Creeping / Mat-like, Weeping",Medium - fine,2 - 3m,1.0 - 1.5m,Fast,S.E. Asia / Japan / China,Zone 9: (-7 to -1 C),Part sun/part shade,,Moderate,"Container planting, Hanging basket, Indoor plant","Showy, Accessory tissue, Fruit rarely seen locally. Called a syconium, a fruit type only found in figs - formed by an enlarged, fleshy, hollow receptacle with multiple ovaries on the inside surface.",Simple,Alternate,Soft flexible,Glabrous,Green,,Ovate,Obcordate or retuse,"Cordate, Oblique (uneven)",Entire,n/a,"No Flowers, Green",,,Multiple fruit,"Purple, Green",,,,"Layering, Stem tip cuttings","Disease resistant, Mites, Scale insects"
Filipendula purpurea,fill-ih-PEN-dew-luh pur-PUR-ee-uh,Japanese meadowsweet,Rosaceae,Herbaceous perennial,"Clump forming; leaves 5 to 7 lobed, toothed, and up to 25 cm wide.",Upright,"Irregular, Oval - vertical",Medium - coarse,0.4 - 0.7m,0.3 - 0.6m,Fast,(Japan),Zone 4: (-34 to -29 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Alkaline, Bog, Humus rich",Moderate,"Accent plant, Cut flower or foliage, Mixed shrub border, Perennial border, Specimen plant, Summer interest, Waterside planting, Woodland margin",Not showy,Lobed,Alternate,,,Green,Purple,Orbicular,Acute,Cordate,"Dentate, Incised","Floriferous, Corymb","Showy, White, Purple, Dark-red",None,"Jun, Jul, Aug",Follicle,,Sep,,,Division - above ground parts,
Filipendula ulmaria 'Aurea',fill-ih-PEN-dew-luh ul-MAIR-ee-uh,golden European meadowsweet,Rosaceae,Herbaceous perennial,"Leaves highly wrinkled, compound, stipulate.","Arching, Upright",Oval - vertical,Medium,0.4 - 0.7m,0.3 - 0.6m,Fast,Europe,Zone 3: (-40 to -34 C),"Filtered shade, Full sun, Part sun/part shade",,Wetlands,"Aquatic - ponds, Container planting, Mixed shrub border, Perennial border, Spring interest, Waterside planting, Wetland - bogs, Woodland margin",Google Images,Compound,Alternate,,Distinctive smell,Green-yellow,Green,Ovate,Acute,,Serrate,"Floriferous, Panicle","Showy, Green-yellow",Musky,"Jun, Jul, Aug",,Green-yellow,,,,Division - below ground parts,"Fungal leaf spot, Mildew, Rust"
Filipendula vulgaris,fill-ih-PEN-dew-luh vul-GAIR-iss,dropwort,Rosaceae,Herbaceous perennial,"Leaves pinnately compound, finely-divided, leaflets to 2 cm long; florets small, white (pink in bud), fragrant, and in astilbe-like panicles.",Upright,Vase,Fine,0.4 - 0.7m,0.3 - 0.6m,,"Central / west Asia, Europe",Zone 3: (-40 to -34 C),Full sun,Alkaline,Summer dry,"Ground cover, Perennial border, Woodland margin",Google . Cultivars shown or on campus may include F. 'Multiplex' (has 6 petals per floret).,"Compound, Fern-like",Basal,Soft flexible,Glabrous,Green,Yellow,"Ovate, Spatulate",Acute,Truncate,"Dentate, Pinnately lobed",Panicle,"White, (cream)",Fragrant,"Jun, Jul","Aggregate fruit, Achene","Green, Brown","Sep, Oct",,"Red, Green",,"Pest resistant, Disease resistant, Mildew, Deer resistant, Rabbit resistant"
Fittonia albivenis 'Argyroneura',fit-TOH-neeuh al-bih-VEN-iss,white nerve plant,Acanthaceae,Indoor foliage plant,Stems fuzzy; leaves lush green leaves with white to deep pink veins.,"Dense, Spreading",Creeping / Mat-like,Medium - fine,0.1 - 0.2m,0.3 - 0.6m,Fast,"Garden origin, South America",Zone 11: (above 4 C),"Filtered shade, Part sun/part shade",,Moderate,"Ground cover, Hanging basket, Indoor plant","Not showy, (two locules)",Simple,Opposite,"Heavily veined, Soft flexible",Glabrous,"Green, Nearly White, White or pink veins",,Elliptic,Obtuse,Obtuse,Entire,,"Not showy, Yellow",,,Capsule,,,,,"Seed, Division - below ground parts, Stem tip cuttings","Mites, Root rot"
Foeniculum vulgare,fuh-NICK-you-lum vul-GAIR-ee,fennel,Apiaceae,Herbaceous perennial,"Leaves are finely dissected, up to 40 cm long, stiff, with a licorice taste.","Dense, Spreading, Stiffly upright",Oval - vertical,Fine,1.3 - 2.0m,0.6 - 1.0m,Fast,Europe,Zone 4: (-34 to -29 C),Full sun,Well-drained,Low,"Accent plant, Attract beneficial insects, Attract butterflies, Dryland (no watering), Fragrance, Herb, Perennial border, Summer interest, Wildlife food","Not showy, edible seed",Compound,Alternate,Soft flexible,Distinctive smell,"Green, Purple","Green, Purple",Filiform,,,,"Floriferous, Umbel","Showy, Yellow","Fragrant, Sweet","Jul, Aug, Sep",Schizocarp,Brown,"Sep, Oct",,,Seed,"Aphids or adelgids, Root rot, Slugs or snails"
Forsythia x intermedia,for-SYE-thee-uh ex in-tur-MEE-dee-uh,forsythia,Oleaceae,"Flowering cut plant, Shrub - deciduous","Shrub dense; leaves opposite, ovate to lance-shape, serrate; flowers deep bright yellow, March; fruit small brown capsules. Winter ID: buds greenish divergent; lenticels bumpy on older stems/trunks; young stems chartreuse green-mature to orange/brown.","Arching, Stiffly upright","Irregular, Vase",Medium - fine,2 - 3m,3 - 4m,Fast,Garden origin (F. suspensa x F. viridissima),Zone 6: (-23 to -18 C),"Filtered shade, Full sun",Well-drained,Low,"Group or mass planting, Mixed shrub border, Sheared hedge, Spring interest, Tall background",Fruit insignificant,Simple,Opposite,"Pinnate venation, Soft flexible",Glabrous,Green,,"Lanceolate, Ovate",Acute,Cuneate,Serrate,"Floriferous, Flowers solitary","Showy, Yellow",Fragrant,"Mar, Apr",Capsule,Brown,"Sep, Oct","Prominent lenticels, Multi-stem trunk",Brown,"Greenwood cuttings, Softwood cuttings, Hardwood cuttings, Layering","Dieback, Fungal leaf spot, Galls, Nematodes, Root rot, Virus, Deer resistant, Bacterial leaf spot"
Fothergilla gardenii,fah-thur-GILL-uh GAR-den-ee-eye,"dwarf fothergilla, witch alder",Hamamelidaceae,Shrub - deciduous,"Leaves alternate, oval-obovate, toothed; autumn leaves red-orange-yellow, < 6 cm long; flowers white, fragrant, terminal 'bottlebrush' filaments.",Upright,Round,Medium - coarse,0.7 - 1.3m,0.6 - 1.0m,Moderate,U.S. - southeast,Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",,"Fall interest, Mixed shrub border, Woodland margin",pubescent; each with 2 shiny black seeds,Simple,Alternate,Leathery,Glabrous,Dark-green,"Yellow, Orange, Red","Obovate, Ovate",,,Dentate,Spike,"Showy, White",Fragrant,"Apr, May",Capsule,Brown,"Jul, Aug",Prominent lenticels,"Grey, Brown","Seed, Softwood cuttings","Pest resistant, Disease resistant"
Fothergilla major,fah-thur-GILL-uh MAY-jur,"fothergilla, witch alder",Hamamelidaceae,Shrub - deciduous,"Leaves oval with rippled margin; raceme of white to pink-tinged bottlebrush flowers in May; axillary buds protected by off-white stipule. Winter ID: buds stalked, fuzzy.",Upright,,,1.3 - 2.0m,2 - 3m,,,Zone 5: (-29 to -23 C),"Full sun only if soil kept moist, Part sun/part shade",Well-drained,High,"Mixed shrub border, Small garden/space, Spring interest, Woodland margin","Not showy, beaked",Simple,Alternate,,"Lustrous, Pubescent",Dark-green,"Yellow, Orange, Red",Obovate,,,Dentate,Spike,"Showy, White, (may be pink-tinged)",Fragrant,"May, Jun",Capsule,,Aug,,,Seed,"Pest resistant, Disease resistant"
